Parameters,Estimate,SE,LCI,UCI,z,p
Intercept,0.21,0.12,-0.017,0.44,1.8,0.069
Both Sexes,-0.064,0.063,-0.19,0.06,-1,0.3
Female Sex,0.054,0.028,0.0016,0.11,1.9,0.057
Stressed Environment,-0.12,0.041,-0.2,-0.04,-2.5,0.0033
Both Sexes x Stressed Environment,0.17,0.082,0.083,0.33,2.1,0.039
Female Sex x Stressed Environment,0.25,0.05,0.15,0.35,4.9,<0.001
Intercept ,0.22,0.165,-0.1,0.55,,
Both Sexes,-0.063,0.064,-0.186,0.061,,
Female Sex,0.054,0.028,0,0.11,,
Stressed Environment ,-0.12,0.04,-0.2,-0.039,,
Both Sexes x Stressed Environment ,0.16,0.082,0.003,0.32,,
Female Sex x Stressed Environment ,0.25,0.049,0.15,0.34,,
