Citation,Reference
1,"van Lieshout E, McNamara KB, Simmons LW. Rapid Loss of Behavioral Plasticity and Immunocompetence under Intense Sexual Selection. Evolution. 2014;68(9):2550-8."
2,"Simmons LW, Garcia-Gonzalez F. Evolutionary Reduction in Testes Size and Competitive Fertilization Success in Response to the Experimental Removal of Sexual Selection in Dung Beetles. Evolution. 2008;62(10):2580-91."
3,"Almbro M, Simmons LW. Sexual Selection Can Remove an Experimentally Induced Mutation Load. Evolution. 2014;68(1):295-300."
4,"Fricke C, Arnqvist G. Rapid adaptation to a novel host in a seed beetle (Callosobruchus maculatus): The role of sexual selection. Evolution. 2007;61(2):440-54."
5,"Hollis, B. and T. J. Kawecki. 2014. Male cognitive performance declines in the absence of sexual selection. Proc. R. Soc. B-Biol. Sci. 281."
6,"McKean KA, Nunney L. Sexual selection and immune function in Drosophila melanogaster. Evolution. 2008;62(2):386-400."
7,"Crudgington HS, Fellows S, Snook RR. Increased opportunity for sexual conflict promotes harmful males with elevated courtship frequencies. Journal of Evolutionary Biology. 2010;23(2):440-6."
8,"Tilszer, M. Antoszczyk, K. Salek, N. Zajac, E. Radwan, J.. Evolution under relaxed sexual conflict in the bulb mite Rhizoglyphus robini. Evolution. 2006;60(9):1868-73."
9,"Hangartner S, Michalczyk L, Gage MJG, Martin OY. Experimental removal of sexual selection leads to decreased investment in an immune component in female Tribolium castaneum. Infection, Genetics and Evolution. 2015;33:212-8."
10,"Hangartner S, Sbilordo SH, Michalczyk L, Gage MJG, Martin OY. Are there genetic trade-offs between immune and reproductive investments in Tribolium castaneum? Infection, Genetics and Evolution. 2013;19:45-50."
11,"McNamara KB, van Lieshout E, Simmons LW. A test of the sexy-sperm and good-sperm hypotheses for the evolution of polyandry. Behavioral Ecology. 2014;25(4):989-95."
12,"Edward DA, Fricke C, Chapman T. Adaptations to sexual selection and sexual conflict: insights from experimental evolution and artificial selection. Philosophical Transactions of the Royal Society B-Biological Sciences. 2010;365(1552):2541-8."
13,"Michalczyk L, Millard AL, Martin OY, Lumley AJ, Emerson BC, Gage MJG. Experimental Evolution Exposes Female and Male Responses to Sexual Selection and Conflict in Tribolium Castaneum. Evolution. 2011;65(3):713-24."
14,"Nandy B, Chakraborty P, Gupta V, Ali SZ, Prasad NG. Sperm Competitive Ability Evolves in Response to Experimental Alteration of Operational Sex Ratio. Evolution. 2013;67(7):2133-41."
15,"Jacomb F, Marsh J, Holman L. Sexual selection expedites the evolution of pesticide resistance. Evolution. 2016;70(12):2746-51."
16,"Arbuthnott D, Rundle HD. Sexual Selection Is Ineffectual or Inhibits the Purging of Deleterious Mutations in Drosophila Melanogaster. Evolution. 2012;66(7):2127-37."
17,"Hollis B, Fierst JL, Houle D. Sexual Selection Accelerates the Elimination of a Deleterious Mutant in Drosophila Melanogaster. Evolution. 2009;63(2):324-33."
